Company,Prev Close (Rs),Current Price (Rs),% Change
Colgate Palm.,1406.7,1447.75,+2.92
Marico Ltd.,351.9,362.15,+2.91
Sarda Energy & Miner,165.25,170.05,+2.90
Lakshmi Machines,2851.85,2934.55,+2.90
Deep Industries,72.6,74.7,+2.89
Global Vectra Helico,57.3,58.95,+2.88
Triveni Eng.&Ind.Ltd,54.5,56.05,+2.84
VST Industries,3133.35,3221.6,+2.82
V Mart Retail,1740.8,1789.3,+2.79
ICICI Lombard Gen.,1266.6,1301.9,+2.79
Mazda Ltd.,306.15,314.7,+2.79
Century Enka,175.45,180.35,+2.79
Brigade Enterprises,135.95,139.7,+2.76
Himatsingka Seid,62.55,64.25,+2.72
Thomas Scott (India),5.55,5.7,+2.70
Ramky Infrastructure,35.3,36.25,+2.69
P&G Health,4069.9,4177.65,+2.65
Astra Microwave,105.75,108.55,+2.65
Balmer Lawrie &,109.7,112.6,+2.64
Healthcare Global En,122.8,126.0,+2.61
KRBL Ltd.,246.1,252.5,+2.60
Heidelberg Cement In,177.1,181.7,+2.60
Schaeffler India,3567.2,3659.3,+2.58
Jaiprakash Power Ven,1.95,2.0,+2.56
Tata Metaliks,482.0,494.1,+2.51
Tera Software,24.0,24.6,+2.50
