Company,% Change
N R Agarwal Indu,-7.25
Premier Polyfilm,-7.25
Graphite India Ltd.,-7.24
Praxis Home Retail L,-7.15
Nava Bharat Ventures,-7.14
NDTV,-7.14
Federal-Mogul Goetze,-7.11
Prestige Estates Pro,-7.01
Madhav Marbles & Gra,-6.99
Wockhardt Ltd.,-6.89
CMI L,-6.85
HEG Ltd.,-6.82
Rane (Madras),-6.76
Shalimar Paints,-6.73
Triveni Turbine,-6.71
Andhra Paper,-6.7
Nahar Spg Mills,-6.7
B L Kashyap & Sons,-6.67
Suryalakshmi Cot,-6.65
Union Bank of In,-6.6
Bombay Rayon Fashion,-6.59
Shiva Texyarn Ltd.,-6.57
Veto Switchgears & C,-6.55
Shreyans Inds.,-6.55
Somany Home Innovat,-6.53
Nahar Capital & Fina,-6.46
Barak Valley Cements,-6.45
Kirloskar Industries,-6.45
Nandan Denim,-6.43
Emkay Global Financi,-6.42
Gillanders Arbut,-6.41
Igarashi Motors Indi,-6.41
ABB India,-6.4
Nahar Indust.Ent,-6.39
Adani Transmission L,-6.38
Star Paper Mills,-6.38
Usha Martin Ltd.,-6.33
Zuari Global,-6.29
Shiva Mills,-6.29
Atul Auto Ltd,-6.26
STI India Limi,-6.25
Vinyl Chemicals,-6.24
Universal Cables,-6.18
Indbank Merchant,-6.16
Schneider Electric,-6.13
Apar Industries,-6.12
KM Sugar Mills,-6.08
EIH Ltd.,-6.06
Sastasundar Ventures,-6.03
Bhartiya Interna,-6.01
Voltamp Transformers,-6.0
Mishra Dhatu Nig,-5.99
Ortin Laborator.,-5.99
Arihant Foundat,-5.97
Kalyani Forge,-5.96
Finolex Cables,-5.96
Quess Corp,-5.91
Sundaram Clayton,-5.87
Mahindra Holidays,-5.84
Uttam Sugar Mills,-5.81
Glenmark Pharma,-5.8
Rupa & Company L,-5.78
AstraZeneca Pharma I,-5.78
Punj. NationlBak,-5.76
Lupin Ltd.,-5.76
Kothari Products,-5.73
UCO Bank,-5.72
Atlanta Ltd.,-5.7
Adani Green Energy,-5.7
PetronetLNG,-5.68
Shree Cement,-5.67
Maha. Seamless,-5.66
Seshasayee Paper,-5.66
Cubex Tubings Lt,-5.65
Automotive Axles,-5.64
Sheela Foam,-5.62
Abbott India Ltd.,-5.61
IIFL Securities,-5.6
Cigniti Technologies,-5.57
Nahar Poly Films Ltd,-5.55
G M Breweries Ltd.,-5.55
DLF Ltd.,-5.54
Vesuvius India,-5.52
Remsons Industri,-5.52
Satin Creditcare,-5.51
Crest Ventures,-5.47
L&T Finance Holdings,-5.47
Security and Intelli,-5.4
JMC Projects,-5.37
Ingersoll Rand,-5.33
Emami Realty,-5.31
63 Moons Technologie,-5.22
Techno Electric&Eng,-5.16
Dish TV India Ltd.,-5.16
Plastiblends Ind,-5.16
REC,-5.13
Ceat Ltd.,-5.09
Relaxo Footwears,-5.05
Hind.ConstructionCo.,-5.04
Ganges Securities,-5.03
HT Media,-5.02
PPAP Automotive,-5.01
Sanghi Industrie,-5.0
Siyaram Silk,-5.0
LG Balakrishnan&Bros,-4.98
Tata Investment,-4.96
Power Mech Projects,-4.92
Indo Thai Securities,-4.89
Ruby Mills,-4.88
Sanghvi Forging & En,-4.87
Garden Reach Ship,-4.87
Artemis Medicare,-4.86
Balrampur Chini,-4.85
Patel Integrated Log,-4.84
Mangalore Chem.,-4.83
Sunteck Realty Ltd.,-4.81
Himadri Speciality,-4.81
Magma Fincorp Ltd.,-4.8
Steel City Securitie,-4.79
D B Realty Ltd.,-4.76
Spencer's Retail,-4.7
Punjab Chemicals and,-4.7
PDS Multi. Fashions,-4.62
Swaraj Engines,-4.6
Asahi India Glass,-4.59
Salzer Electr.,-4.58
Gateway Distriparks,-4.54
GP Petroleums,-4.48
Insecticides (India),-4.43
Greenlam Industries,-4.43
D P Wires,-4.42
Mahanagar Gas,-4.4
Greenpanel Industrie,-4.33
Trident Ltd.,-4.32
Alembic Ltd.,-4.32
TTK Healthcare Ltd.,-4.32
Gujarat Apollo Indus,-4.31
Kokuyo Camlin,-4.27
Indian Bank,-4.27
IZMO,-4.23
HPL Electric & Power,-4.22
Gokul Refoils & Solv,-4.22
Bank of India,-4.2
Anant Raj Ltd.,-4.19
Reliance Home Fin,-4.17
Twentyfirst Cent,-4.13
Magadh Sugar & Energ,-4.12
KCP Sugar & In,-4.08
HBL Power Systems Lt,-4.08
Venky's (India) Ltd.,-4.04
JTEKT India,-4.04
Shriram Pistons,-4.04
Sun TV Network Ltd.,-4.02
Sandesh,-4.0
GeeCee Ventures,-3.96
Guj. Alkalie & C,-3.95
Page Industries Ltd.,-3.94
HDFC AMC,-3.93
Mahindra Lifespace D,-3.92
Krishana Phoschem,-3.9
Savita Oil Tech,-3.89
Tasty Bite,-3.83
Shree Rama Multi,-3.81
Anik Industries,-3.69
Trigyn Technolog,-3.68
Alkali Metals Ltd.,-3.61
IIFL Finance,-3.59
Spicejet Ltd.,-3.58
Monte Carlo Fashions,-3.57
Guj. Industries,-3.5
Khadim India,-3.5
CL Educate,-3.49
Donear Industrie,-3.48
Damodar Industries,-3.43
Aspinwall & Company,-3.41
Jiya Eco Products Lt,-3.38
Nestle India,-3.36
PNC Infratech,-3.35
Raj Television Netwo,-3.32
MRO-TEK Realty,-3.3
GAIL (India) Ltd.,-3.28
Bata India,-3.28
Murudeshwar Cer.,-3.28
Ambika Cotton Mi,-3.28
UFO Moviez India Ltd,-3.26
Tokyo Plast Inte,-3.22
Cerebra Integrat,-3.2
Orient Refractories,-3.2
Gokul Agro Resources,-3.19
V-Guard Ind.Ltd.,-3.18
Dhampur Sugar,-3.17
TCNS Clothing,-3.16
GB Global,-3.13
T Nadu Newsprint,-3.12
Kansai Nerolac Paint,-3.09
Astron Paper & Board,-3.0
Shankara Building Pr,-2.98
Kennametal India,-2.92
Texmaco Infrastructu,-2.92
Alankit,-2.92
Man Infraconstructio,-2.92
Ugar Sugar Works,-2.84
CESC Ventures,-2.83
Dwarikesh Sugar,-2.77
Eris Lifesciences,-2.72
Lambodhara Texti,-2.71
Nitin Spinners,-2.69
BayerCropscience,-2.68
South West Pinnacle,-2.64
Ador Welding Ltd.,-2.63
Indiabulls Ventures,-2.63
Geojit Financial,-2.59
Steel Strips Wheels,-2.59
Nalwa Sons Investmen,-2.58
Bank of Baroda,-2.57
Hind Rectifiers,-2.57
Kernex Microsystems,-2.54
KNR Constructions,-2.53
Jagran Prakashan,-2.53
Jubilant Foodworks L,-2.52
Central Bank,-2.51
Quick Heal Technolog,-2.5
Force Motors,-2.49
United Spirits,-2.49
STEL Holdings,-2.48
Bharat Bijlee,-2.44
Bharat Road Network,-2.4
JSW Holdings,-2.31
MarathonNextgenRea,-2.3
Jindal Poly Films,-2.3
L&T,-2.3
Navneet Education,-2.29
ONGC,-2.27
MothersonSumiSystems,-2.27
Dollar Industries,-2.27
Vardhman Textiles Lt,-2.26
Mas Financial Servic,-2.21
Goodluck India,-2.21
Panacea Biotec L,-2.2
La Opala RG Ltd.,-2.18
Astral Poly Technik,-2.16
IIFL Wealth Manage,-2.14
Kakatiya Cement Suga,-2.13
Kamdhenu Ispat,-2.13
Keynote Financial,-2.12
Aavas Financiers,-2.04
Star Cement,-2.03
The Western India,-1.96
Zota Healthcare,-1.95
Globus Spirits Ltd.,-1.92
Maan Aluminium Ltd.,-1.81
Pioneer Distille,-1.75
Albert David Ltd,-1.74
DCM Nouvelle,-1.73
Prism Johnson,-1.72
Solar Industries Ind,-1.7
Smartlink Holdings,-1.65
Rites Ltd.,-1.64
Asian Hotels (West),-1.63
Birla Cable,-1.62
Blue Star,-1.6
De Nora India Ltd.,-1.57
Havells India,-1.56
Sundaram Finance Hol,-1.54
Godrej Consumer Prod,-1.54
Lux Industries,-1.51
AksharChem (India),-1.49
Balkrishna Ind.,-1.47
Chalet Hotels L,-1.45
Gujarat Pipavav Port,-1.45
Goa Carbons,-1.44
Bhansali Engg.Po,-1.41
Solara Active Pharma,-1.39
AVT Natural Prod,-1.39
India Nippon Ele,-1.39
Symphony,-1.36
Sadbhav Engineering,-1.33
Thermax,-1.32
Kalyani Investment,-1.3
Genus Power Infrastr,-1.26
Coal India,-1.24
General Ins. Corp.,-1.24
Hatsun Agro Prod,-1.16
FACT,-1.14
