Company,% Change
AYM Syntex,+0.18
MSTC Ltd.,+0.16
Sun TV Network Ltd.,+0.16
Dishman Carbogen Amc,+0.11
Fortis Malar Hospita,+0.10
Winsome Textile,+0.07
Pudumjee Paper Produ,+0.07
Benares Hotels,+0.06
Jagan Lamps,+0.06
Gulf Oil Lubricants,+0.05
Universus Photo Imag,+0.05
Godrej Agrovet L,+0.04
Marico Ltd.,+0.04
Albert David Ltd,+0.02
TV Today Network Ltd,+0.02
