Company,% Change
Prakash Indus.,+10.07
Federal-Mogul Goetze,+10.02
BCPL Railway Infrast,+10.00
Prestige Estates Pro,+9.94
JTL Infra L,+9.94
Prime Property Devel,+9.89
Ganges Securities,+9.88
South Asian Ente,+9.85
Windsor Machines,+9.85
Electrosteel Cas,+9.83
Grauer & Weil,+9.83
Hind Rectifiers,+9.82
Rushil Decor Ltd.,+9.82
VRL Logistics Ltd.,+9.80
Transcorp Inter,+9.77
Trescon L,+9.74
Zen Technologies Ltd,+9.73
Prem Somani Fina,+9.73
Power Mech Projects,+9.71
VIP Indus.,+9.70
Contil India,+9.70
Bharat Heavy Ele,+9.65
Granules India L,+9.63
Apollo Pipes,+9.56
NCC,+9.56
Capri Global Capital,+9.56
Swaraj Engines,+9.55
Anant Raj Ltd.,+9.54
Kesar Petroprod.,+9.48
Ram Ratna Wires,+9.45
Plastiblends Ind,+9.44
Atul Auto Ltd,+9.43
Akzo Nobel India,+9.41
Rail Vikas Nigam,+9.40
Suryachakra Power Co,+9.38
Damodar Industries,+9.38
Superhouse Ltd.,+9.38
TTK Prestige L,+9.37
Manaksia Aluminium,+9.35
Shirpur Gold Refiner,+9.28
T Nadu Newsprint,+9.28
TeamLease Service,+9.27
Aanchal Ispat Ltd.,+9.24
Sundaram Clayton,+9.23
Makers Lab.,+9.23
MarathonNextgenRea,+9.22
GSS Infotech,+9.20
Inspirisys Solutions,+9.20
TIL Ltd.,+9.19
Uniphos Enterprises,+9.17
Tata Consumer Produc,+9.16
Harita Seating Syst.,+9.13
Rajoo Engineers,+9.12
DLF Ltd.,+9.12
Danube Industries L,+9.09
Sumeru Industries Lt,+9.09
Sumedha Fiscal S,+9.09
CNI Research Ltd.,+9.09
Olectra Greentech,+9.07
Control Print Ltd.,+9.07
Camlin Fine Sciences,+9.06
ObjectOne Inform,+9.05
Hindoostan Mills,+9.05
Trejhara Solutions L,+9.00
Waterbase Ltd.,+9.00
Adhunik Industries,+8.97
Career Point,+8.96
GNA Axles,+8.94
Galaxy Bearings,+8.93
Everest Organics,+8.92
AIA Engineering,+8.85
Pfizer Ltd.,+8.84
Nelcast Ltd.,+8.82
Sonata Software,+8.81
Tata Steel Long Prod,+8.79
Bedmutha Industries,+8.79
Solara Active Pharma,+8.78
