Company,% Change
Dalmia Bharat Sugar,+0.34
Commercial Syn Bags,+0.33
Mangal Credit & Fin,+0.33
ADF Foods Ltd.,+0.33
HKG Ltd,+0.33
ARSS Infrastructure,+0.32
Gautam Exim,+0.32
HSIL Ltd.,+0.32
Oscar Global Ltd,+0.31
AVI Products India,+0.31
Bilcare Ltd.,+0.31
Delton Cables,+0.30
Ad-Manum Finance,+0.30
T T Ltd.,+0.29
Pennar Industrie,+0.29
Ruttonsha Intl.,+0.29
Kamadgiri Fashion,+0.29
H P Cotton Textiles,+0.28
Sagarsoft (India),+0.28
Kirloskar Ferrou,+0.28
Balmer Lawrie Invest,+0.28
Maximus Intl.,+0.27
Junction Fabrics,+0.26
Mallcom (India) L,+0.26
Global Vectra Helico,+0.26
Sun TV Network Ltd.,+0.26
Kanoria Chemical,+0.26
Lakshmi Vilas Ba,+0.26
Emami Ltd.,+0.26
Williamson Magor,+0.25
Jeevan Scientific,+0.25
Spandana Sphoorty Fi,+0.24
Pfizer Ltd.,+0.24
Veejay Lakshmi E,+0.23
Orient Cement Ltd.,+0.23
De Nora India Ltd.,+0.23
Ansal Properties & I,+0.23
Golden Tobacco Ltd.,+0.22
Palred Technologies,+0.22
Gulf Oil Lubricants,+0.22
TVS Motor Co. Ltd.,+0.21
JSW Holdings,+0.21
Sandhar Technologies,+0.20
Orient Bell,+0.20
Coastal Corporation,+0.20
Navkar Corporation L,+0.19
HLV L,+0.19
Ecoplast L,+0.18
Machino Plastics,+0.17
GTPL Hathway,+0.16
PI Industries,+0.16
Trio Mercantile & Tr,+0.15
Amara Raja Batt.,+0.15
Dhanlaxmi Bank,+0.15
Opto Circuits India,+0.14
Vimta Labs Ltd.,+0.14
Cenlub Industrie,+0.13
Gujarat Pipavav Port,+0.12
JBF Industries,+0.11
Roopa Industries,+0.11
DB (International),+0.11
Asian Granito India,+0.11
Godrej Agrovet L,+0.11
Alufluoride Ltd.,+0.11
Bombay Oxygen Invest,+0.11
Take Solutions Ltd.,+0.10
Fervent Synergies L,+0.10
Darshan Orna,+0.10
Black Rose Industrie,+0.08
Medinova Diagnostic,+0.07
Sandesh,+0.07
Infibeam Avenues,+0.06
